0.658,0.693,,/Users/lordvile/Documents/Music/Songs/Jax Jones - You Dont Know Me ft. RAYE.mp3,,,,,,,,,
0.871,0.304,,/Users/lordvile/Documents/Music/Songs/Cash Cash - All My Love (feat. Conor Maynard) [Official Lyric Video].mp3,,,,,,,,,
0.797,0.492,,/Users/lordvile/Documents/Music/Songs/Major Lazer - Cold Water (feat. Justin Bieber & M├ÿ) (Official Lyric Video).mp3,,,,,,,,,
0.698,0.0833,,/Users/lordvile/Documents/Music/Songs/Yuna - Lullabies (Adventure Club Remix).mp3,,,,,,,,,
0.607,0.28,,/Users/lordvile/Documents/Music/Songs/Tom Leeb - Are We Too Late.mp3,,,,,,,,,
0.256,0.635,,/Users/lordvile/Documents/Music/Songs/Jim Croce - Time in a bottle - 1973.mp3,,,,,,,,,
0.832,0.441,,/Users/lordvile/Documents/Music/Songs/Betty Who - All of You.mp3,,,,,,,,,
0.858,0.591,,/Users/lordvile/Documents/Music/Songs/Pound The Alarm (Explicit Edit).mp3,,,,,,,,,
0.766,0.604,,/Users/lordvile/Documents/Music/Songs/Jack's Mannequin - Amelia Jean (People and Things Short Film).mp3,,,,,,,,,
0.745,0.872,,/Users/lordvile/Documents/Music/Songs/Calvin Harris - Feels (Official Video) ft. Pharrell Williams,,,,,,,,,
0.686,0.444,,/Users/lordvile/Documents/Music/Songs/Jennifer Lopez Ft Pitbull - Dance Again.mp3,,,,,,,,,
0.9,0.558,,/Users/lordvile/Documents/Music/Songs/Taio Cruz - Higher (feat. Travie McCoy).mp3,,,,,,,,,
0.908,0.351,,/Users/lordvile/Documents/Music/Songs/Switchfoot - Dare You To Move (Alt. Version).mp3,,,,,,,,,
0.837,0.778,,/Users/lordvile/Documents/Music/Songs/Far East Movement ft. The Cataracs & Dev - Like A G6.mp3,,,,,,,,,
0.55,0.234,,/Users/lordvile/Documents/Music/Songs/Doors Down - Here Without You (Lyrics).mp3,,,,,,,,,
0.641,0.639,,/Users/lordvile/Documents/Music/Songs/Jerry Honigman - By the Way.mp3,,,,,,,,,
0.913,0.536,,/Users/lordvile/Documents/Music/Songs/Calvin Harris - My Way (Official Video).mp3,,,,,,,,,
0.409,0.0361,,/Users/lordvile/Documents/Music/Songs/John Murphy - Sunshine (Adagio In D Minor).mp3,,,,,,,,,
0.729,0.84,,/Users/lordvile/Documents/Music/Songs/Who's Loving You (Copy Paste S Re.mp3,,,,,,,,,
0.446,0.413,,/Users/lordvile/Documents/Music/Songs/Beyonce - Wishing On A Star.mp3,,,,,,,,,
0.65,0.481,,/Users/lordvile/Documents/Music/Songs/Gone Gone Gone - Phillip Phillips - Lyrics.mp3,,,,,,,,,
0.519,0.168,,/Users/lordvile/Documents/Music/Songs/Martin Garrix Bebe Rexha - In The Name Of Love.mp3,,,,,,,,,
